So,Vhex,Si_scale,Km_scale,c_scale,Fhex
0.00142343,1.58304378,0.1778279410,0.1000000000,0.3978400000,0.0000037600
0.00162535,1.75610208,0.1778279410,0.1000000000,0.3978400000,0.0000037600
0.00182727,1.91991666,0.1778279410,0.1000000000,0.3978400000,0.0000037600
0.00202919,2.07525579,0.1778279410,0.1000000000,0.3978400000,0.0000037600
0.00223111,2.22280575,0.1778279410,0.1000000000,0.3978400000,0.0000037600
0.00243303,2.36312822,0.1778279410,0.1000000000,0.3978400000,0.0000037600
0.00263495,2.49673892,0.1778279410,0.1000000000,0.3978400000,0.0000037600
0.00283687,2.62404678,0.1778279410,0.1000000000,0.3978400000,0.0000037600
0.00303879,2.74539321,0.1778279410,0.1000000000,0.3978400000,0.0000037600
0.00324071,2.86108211,0.1778279410,0.1000000000,0.3978400000,0.0000037600
0.00344263,2.97124526,0.1778279410,0.1000000000,0.3978400000,0.0000037600
0.00364455,3.07598067,0.1778279410,0.1000000000,0.3978400000,0.0000037600
0.00384646,3.17520349,0.1778279410,0.1000000000,0.3978400000,0.0000037600
0.00404838,3.26856651,0.1778279410,0.1000000000,0.3978400000,0.0000037600
0.0042503,3.35547119,0.1778279410,0.1000000000,0.3978400000,0.0000037600
0.00445222,3.43483074,0.1778279410,0.1000000000,0.3978400000,0.0000037600
0.00465414,3.50499685,0.1778279410,0.1000000000,0.3978400000,0.0000037600
0.00485606,3.56401923,0.1778279410,0.1000000000,0.3978400000,0.0000037600
0.00505798,3.61056908,0.1778279410,0.1000000000,0.3978400000,0.0000037600
0.0052599,3.64498687,0.1778279410,0.1000000000,0.3978400000,0.0000037600
0.00546182,3.66944278,0.1778279410,0.1000000000,0.3978400000,0.0000037600
0.00566374,3.68670052,0.1778279410,0.1000000000,0.3978400000,0.0000037600
0.00586566,3.69905349,0.1778279410,0.1000000000,0.3978400000,0.0000037600
0.00606758,3.7081304,0.1778279410,0.1000000000,0.3978400000,0.0000037600
0.00626949,3.71499117,0.1778279410,0.1000000000,0.3978400000,0.0000037600
0.00647141,3.72031005,0.1778279410,0.1000000000,0.3978400000,0.0000037600
0.00667333,3.72453588,0.1778279410,0.1000000000,0.3978400000,0.0000037600
0.00687525,3.72795929,0.1778279410,0.1000000000,0.3978400000,0.0000037600
0.00707717,3.730787,0.1778279410,0.1000000000,0.3978400000,0.0000037600
0.00727909,3.73315494,0.1778279410,0.1000000000,0.3978400000,0.0000037600
0.00748101,3.73516605,0.1778279410,0.1000000000,0.3978400000,0.0000037600
0.00768293,3.73689189,0.1778279410,0.1000000000,0.3978400000,0.0000037600
0.00788485,3.73838999,0.1778279410,0.1000000000,0.3978400000,0.0000037600
0.00808677,3.73970247,0.1778279410,0.1000000000,0.3978400000,0.0000037600
0.00828869,3.7408595,0.1778279410,0.1000000000,0.3978400000,0.0000037600
0.00849061,3.74188754,0.1778279410,0.1000000000,0.3978400000,0.0000037600
0.00869253,3.74280836,0.1778279410,0.1000000000,0.3978400000,0.0000037600
0.00889444,3.74363489,0.1778279410,0.1000000000,0.3978400000,0.0000037600
0.00909636,3.74438367,0.1778279410,0.1000000000,0.3978400000,0.0000037600
0.00929828,3.74506246,0.1778279410,0.1000000000,0.3978400000,0.0000037600
0.0095002,3.74568266,0.1778279410,0.1000000000,0.3978400000,0.0000037600
0.00970212,3.74625026,0.1778279410,0.1000000000,0.3978400000,0.0000037600
0.00990404,3.74677226,0.1778279410,0.1000000000,0.3978400000,0.0000037600
0.01010596,3.74725258,0.1778279410,0.1000000000,0.3978400000,0.0000037600
0.01030788,3.74769844,0.1778279410,0.1000000000,0.3978400000,0.0000037600
0.0105098,3.74811091,0.1778279410,0.1000000000,0.3978400000,0.0000037600
